name,type,county,purchasing_url,platform,contact_name,contact_email,contact_phone,notes
City of Granjeno,city,Hidalgo,https://cityofgranjeno.com/,None found; grant-funded work historically advertised by city's consulting engineer (possible CivCast publisher page: civcastusa.com/publishers/5867814201ec5a49a07b141c — unverified),"Yvette Cabrera, Mayor (no city manager)",,(956) 519-0032,"6603 S. FM 494, Mission TX 78572. Pop. ~283, smallest entity; no bids page. TxCDBG street/drainage work advertised via engineer rather than city site."
City of Palmhurst,city,Hidalgo,https://www.cityofpalmhursttx.com/?SEC=D213E7F4-CC2B-4C16-95BD-62B50689FA8E,None — Bid Opportunities page on own GovOffice site (cityofpalmhursttx.com),"Lori A. Lopez, City Manager",,(956) 583-8697,"4417 N. Shary Rd, Palmhurst TX 78573. Dedicated Bid Opportunities section confirmed but contents unverifiable (fetch blocked). Correct domain cityofpalmhursttx.com (not palmhursttx.us)."
Hidalgo County Purchasing Department,county,Hidalgo,https://www.hidalgocounty.us/3116/Current-Solicitations,OpenGov Procurement — https://procurement.opengov.com/portal/co-hidalgo-tx (vendor registration required),"Ignacio Amezcua, MBA, CTCM, CTCD, Purchasing Director",purchasing@co.hidalgo.tx.us,(956) 318-2626,"2802 S. Business Hwy 281, Edinburg TX 78539. Legacy bid page hidalgocounty.us/bids.aspx; results hidalgocounty.us/1455/Bid-Results. Recent 2026 construction RFBs: Veterans Services New Office/Remodel 26-0231-05-20-6, street improvements, Concrete Mix & Delivery. Portal fetch blocked — subscribe via OpenGov for current listings. Highest-volume bid source in the county."
Agua Special Utility District,utility,Hidalgo,https://aguasud.com/about-us/bids/,"Public Purchase — https://www.publicpurchase.com/gems/aguasud,tx/buyer/public/home (also own site + Progress Times legal notices)",Cynthia V. (bid documents/specifications contact),cynthiav@aguasud.com,(956) 585-2459 (verify),"3120 N. Abram Rd, Palmview TX 78572. Domain is aguasud.com (not .org). Hard-copy sealed bids only — no electronic/fax. Most recent: Abram Water Treatment Plant Filter No. 1 Rehabilitation — bids opened 7/8/2026 (closed one week before 7/15); re-bid or award possible, worth a call."
Hidalgo County Drainage District No. 1,utility,Hidalgo,https://www.hcdd1.org/page/Procurement,OpenGov Procurement (shares county portal) — https://procurement.opengov.com/portal/co-hidalgo-tx; solicitations use 'HCDD1-' prefixed numbers,"Enriqueta Zambrano, Procurement Specialist II",,(956) 292-7080,"902 N. Doolittle Rd, Edinburg TX 78542. Heavy-civil drainage work (excavation, box culverts, concrete outfalls, pump stations) — relevant for STRUCTURAL/concrete subs. Recent: RFB HCDD1-25-029-05-14-ESZ (Flood Control Segment 21 Ph.1), RFB HCDD1-24-061-11-27-ESZ (West Main Drain III Ph.1). $5.5M new federal funding (2026 Approps) for West Main Drain expansion — new lettings expected in 2026."
Housing Authority of the City of McAllen,housing,Hidalgo,https://www.mcallenha.org/procurement,None — posts RFPs/RFQs/IFBs on own procurement page per HUD rules,"Bryan Jimenez, CEO/Executive Director",bryan@mcallenha.org,(956) 686-3951,"2301 Jasmine Ave, McAllen TX 78501. Separate related entity: McAllen Housing Commission (mcallenhc.org/about-us/procurement/, rudy@mcallenhc.org) also lets rehab/construction work — check both. Roofing/rehab/unit-turnaround work typically posted only on own page; no open solicitations surfaced 7/15/2026 (page fetch blocked) — call directly."
Edinburg Housing Authority,housing,Hidalgo,https://edinburgha.org/ (no dedicated bids page; RFP/RFB packets posted as PDFs under edinburgha.org/wp-content/uploads/),None — own website + local newspaper legal notices,"Yuritzy Alejos-Charles, Procurement Coordinator; Rodolfo 'Rudy' Ramirez, Executive Director",rudy@edinburgha.org,(956) 383-3839,"901 S. Sugar Rd, Edinburg TX 78539. Staff page edinburgha.org/staff/. Albores Courts deconstruction/sale (98 units) is funding a NEW housing development — construction packages (structural, roofing, electrical, drywall) likely in 2026-2027 pipeline. Call Procurement Coordinator to get on vendor list."
McAllen ISD,school-district,Hidalgo,https://www.mcallenisd.org/page/bid-notices,IonWave (mcallenisd.ionwave.net) + district Bid Notices page,"Gerardo Noriega, CPPB, Director of Purchasing & Contracting",purchasing@mcallenisd.net,956-971-4466,"4309 Warrior Dr, McAllen. Senior Buyers: Graciela Garza 956-657-4487, Carol Quintanilla 956-657-4486. $335M bond APPROVED May 2, 2026 (55%-45%) - construction packages (campus modernization, CTE, safety/security, infrastructure) expected to bid FY2026-27; register on IonWave now. Legal notices run in Progress Times."
Edinburg CISD,school-district,Hidalgo,https://www.ecisd.us/apps/pages/index.jsp?uREC_ID=1311554&type=d&pREC_ID=1552662,District website (ecisd.us) + DemandStar,"Amaro Tijerina, Director of Purchasing",,956-289-2300 (main); purchasing 956-383-7687,"411 N 8th Ave, 2nd Floor, Edinburg. Dept contact possibly d.longoria@ecisd.us (unverified). Active campus construction underway (Visions Academy, South Field House, BL Garza MS, Hargill Elem). No open trade CSP confirmed as of 7/15/26 - monitor ecisd.us purchasing page and DemandStar agency page."
Mission CISD,school-district,Hidalgo,https://www.mcisd.net/apps/pages/vendoropportunities,Bonfire (mcisd.bonfirehub.com),"Dora Garcia, Purchasing Coordinator",,956-323-5524,"1201 Bryce Dr, Mission. Recently moved to Bonfire portal - register at mcisd.bonfirehub.com. Has run JOC-style CSP for construction services (multiple award, RS Means coefficient pricing, 1-yr term + renewal, doc 520-26-0 issued ~Jul 2025) - JOC renewal cycle likely; verify current cycle on Bonfire (JS portal, not fetchable)."
Pharr-San Juan-Alamo (PSJA) ISD,school-district,Hidalgo,https://www.psjaisd.us/departments/purchasing-department,IonWave (psjaebid.ionwave.net),"Ralph Mendez, Director of Procurement (Asst Dir: Monique Richie)",,956-354-2000 ext 1126,"601 E Kelly Ave, Pharr. eBid portal: psjaebid.ionwave.net/Login.aspx. $60M bond REJECTED by voters Nov 4, 2025 - no bond program; maintenance/renovation CSPs still recur (prior Memorial ECHS HVAC Upgrades CSP). Register on IonWave for bid alerts."
Sharyland ISD,school-district,Hidalgo,https://www.sharylandisd.org/departments/purchasing,BeaconBid (beaconbid.com/solicitations/sharyland-isd) + Public Purchase,"Jesse Salazar, Purchasing Director (Buyer: Nellie Cantu x1034)",jgsalazar@sharylandisd.org,956-580-5200 ext 1045,"$250M bond (3 propositions: facilities/safety/modernization, technology, aquatic center) went to voters May 2026 - multiple reports indicate propositions were REJECTED; verify before counting on bond packages. Open solicitations: beaconbid.com/solicitations/sharyland-isd/open. No open trade CSP confirmed as of 7/15/26."
La Joya ISD,school-district,Hidalgo,https://www.lajoyaisd.com/page/purchasing,IonWave (lajoyaisd.ionwave.net) + DemandStar,"Sylvia Zapata, Executive Director, Purchasing & Warehouse Operations",,956-580-5000 (main; direct line unverified),Email pattern @lajoyaisd.net (masked in sources). Facilities Master Plan Services RFQ (2026-19) posted - signals facilities assessment ahead of a possible future bond/construction program. e-Bidding portal free for vendors; bid tabulations posted on district site.
Weslaco ISD,school-district,Hidalgo,https://www.wisd.us/resources/bids-and-proposals,IonWave (weslacoisd.ionwave.net),"Balde Garcia, Purchasing",,956-969-6732,"319 W 4th St, Weslaco. $160M Bond 2023 program ACTIVE: roofing at multiple campuses, district-wide HVAC, restroom improvements, fire alarm upgrades, new ag building through 2026 - strong roofing/electrical/drywall sub pipeline. Formal solicitations also advertised in The Monitor legal notices. Register at weslacoisd.ionwave.net."
Donna ISD,school-district,Hidalgo,https://www.donnaisd.net/about-us/departments/purchasing/welcome,District e-Bidding system (donnaisd.net),"Joe Smedley, Purchasing Director",joe.smedley@donnaisd.net,956-464-1620,"116 N 10th St, Donna. $120M bond program launched 2024 (new classroom wings at elementaries, outdoor learning center) - ongoing packages. Recent trade RFPs: Electrical Contracted Services RFP 092225-857 (closed 10/14/25 - watch for annual rebid); prior paving CSPs. Register for e-Bid notifications."
Mercedes ISD,school-district,Hidalgo,https://www.misdtx.net/documents/departments/business-office-operations/purchasing/504783,District website PDF postings (misdtx.net) + newspaper legal notices,Purchasing Director (sources conflict: Ralph Mendez / Enrique Cuellar),enrique.cuellar@misdtx.net (verify),956-514-2011,"206 W 6th St, Mercedes. Bond election ordered (notice filed with Hidalgo County ~2025) - construction packages possible if passed; verify outcome. History of E-Rate Network Hardware & Cabling RFPs (Jan 2025) - watch for FY2027 E-Rate cycle (Form 470 window opened Jul 2026). Bids opened publicly at Admin Office."
Hidalgo ISD,school-district,Hidalgo,https://www.hidalgo-isd.org/Page/252,District website Bids/RFPs page,"Edward Gonzales, Director of Purchasing & Risk Management",,956-843-4416,$25.5M bond PASSED 2025 - upcoming construction packages expected FY2026-27; board awards bids 1st Monday monthly. Member of Region One Purchasing Cooperative. Staff directory: hidalgo-isd.org/apps/staff. No open trade solicitation confirmed as of 7/15/26.
Valley View ISD,school-district,Hidalgo,https://www.vviewisd.net/page/current-competitive-sealed-proposals,District website CSP page + BidNet Direct,,,956-340-1000,"9701 S Jackson Rd, Pharr. Posts CSPs on own site; prior Fence Project and E-Rate point-to-point RFPs. Current listed CSP is Instructional Supplies & Furniture (award period 9/1/26-8/31/27) - no trade CSP confirmed open. Page fetch blocked; check page directly."
Progreso ISD,school-district,Hidalgo,https://www.progresoedu.net/business-office,District website (progresoedu.net) + BeaconBid; buys via co-op awarded vendors,Business Office,,956-565-3011 (main; unverified),"2022 $10M bond (elem gym, roofing, HVAC, electrical, renovations) substantially complete Aug 2025. Recent Gate Automation project procured through purchasing co-op vendors (Nov 2025) - being an awarded co-op vendor (ROPC/BuyBoard) is the practical route into this district."
Edcouch-Elsa ISD,school-district,Hidalgo,https://www.eeisd.org/page/purchasing,District website + BidNet Direct,"Gena Padilla, Purchasing Agent/Accountant",gpadilla@eeisd.org,956-262-6000 (main; unverified),"Bids awarded annually, some with extension periods. Recent: RFQ 2025-001 District-Wide Engineering Services (as-needed); Security Guard Services open on BidNet Direct (non-trade). Monitor BidNet Direct for trade packages."
La Villa ISD,school-district,Hidalgo,https://www.lavillaisd.org/page/business-office,District website / Business Office (no e-bid portal found),Business Office,,956-262-4755,"PO Box 9, La Villa TX 78562. Very small district - solicitations handled by Business Office; contact directly and monitor regional co-ops (ROPC). No open solicitations found."
Monte Alto ISD,school-district,Hidalgo,https://www.montealtoisd.org/page/business-office/,District website (Current Bid Opportunities under Business Office/Financial Transparency),Business Office,,956-567-3100,"25149 1st St, Monte Alto. Business Office handles goods/services, construction and professional services procurement; Region One ESC co-op member (incl. Texas Energy Center). Current Bid Opportunities: montealtoisd.org/documents/departments/business-office/financial-transparency/current-bid-opportunities/21205416. No open trade bid confirmed."
South Texas ISD,school-district,Hidalgo,https://www.stisd.net/community/public,District website PDF postings (stisd.net Business + Finance),Business Office,,956-565-2454,"7001 E Expressway 83, Mercedes (regional magnet district serving Hidalgo/Cameron/Willacy). Sealed proposals to STISD Business Office. Active FY27 cycle: RFP 27-004 Technology Products/Services, RFP 27-015 Building Materials, RFQ 27-007 Architectural Services (Addendum 3). Recent athletics construction CSPs 25-010 (Edinburg site) / 25-011 (Mercedes site)."
Region One Education Service Center,esc,Hidalgo,https://www.esc1.net/services/operations/purchasing/vendor-opportunities,eBuyOne (IonWave-powered vendor portal),"Lori Atwood Ramos, Purchasing Director",eBuyOne@esc1.net,956-984-6000 (main),"Edinburg. Runs Region One Purchasing Cooperative (ROPC, TEC 8.053) used by most small Hidalgo districts. Key contracts: Facility Products/Services & Rentals (23-AGENCY-000111, extended 4 of 4) and a construction-type Trades Services RFP covering electrical, lighting, telecom/IT inside (cabling), HVAC, plumbing, painting, fencing - ROPC awarded-vendor status unlocks small-district work region-wide. Register in eBuyOne with trade commodity codes. TIPS is a separate co-op run by Region 8 ESC (Texarkana), not Region One."
South Texas College,college,Hidalgo,https://finance.southtexascollege.edu/purchasing/purchase/opportunities.html,OpenGov Procurement (recently adopted); ads in Advance News Journal / Starr County Town Crier,Purchasing Department,stcpurchasing@southtexascollege.edu,956-872-4681,"3200 W Pecan Blvd, Bldg N Ste 145, McAllen. Solicitations published and responses received via OpenGov - register there. Facilities Planning & Construction dept handles capital projects. No open construction solicitation confirmed as of 7/15/26; opportunities page fetch blocked - check directly."
University of Texas Rio Grande Valley (UTRGV),university,Hidalgo,https://www.utrgv.edu/procurement/,"Bonfire (utrgv.bonfirehub.com) + Texas ESBD (txsmartbuy.gov, agency 743)","Maggie Rangel, Director of Procurement & Contracts (CPO: Alex Valdez 956-665-7105)",maggie.rangel@utrgv.edu; purch@utrgv.edu,956-665-2166 (director); 956-665-2161 (office),Edinburg. Current solicitations at utrgv.bonfirehub.com (registration required; JS portal not fetchable) and on ESBD (search UTRGV / agency 743). HUB program active - HUB subcontracting plans required on construction; HUB certification is an advantage for subs. Bid portals page: utrgv.edu/procurement/departments/purchasing/portals.
